,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
46,34,0,23,4,2,0,3,4568,0,0,20,3,3,9,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
47,37,0,19,2,2,0,2,3022,4,0,21,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
48,46,0,5,4,1,0,4,5772,4,1,21,3,3,9,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
49,35,0,8,1,4,0,4,2269,1,0,19,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
50,48,1,1,2,1,0,3,5381,9,1,13,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
51,28,1,5,4,3,0,3,3441,1,1,13,3,2,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
52,44,0,1,5,2,1,1,5454,5,1,21,3,2,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
53,35,0,11,2,3,0,1,9884,2,1,13,3,3,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
54,26,0,23,3,3,1,4,4157,7,1,19,3,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
55,33,0,1,2,1,1,4,13458,1,1,12,3,3,15,14,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
56,35,0,18,5,2,0,1,9069,1,0,22,4,2,9,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,35,0,23,4,3,1,1,4014,3,1,15,3,3,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
58,31,0,7,4,4,0,4,5915,3,0,22,4,2,7,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
59,37,0,1,4,1,0,3,5993,1,0,18,3,4,7,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
60,32,0,1,3,1,0,4,6162,1,1,22,2,3,9,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
61,38,0,29,5,4,1,4,2406,1,0,11,4,3,10,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
62,50,0,7,2,2,1,3,18740,5,1,12,4,2,27,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
63,59,0,25,3,1,1,1,7637,7,0,11,4,2,21,16,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
64,36,0,8,3,3,1,3,10096,1,0,13,2,3,17,14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
65,55,0,8,3,4,1,3,14756,2,1,14,3,3,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
66,36,0,11,3,2,0,2,6499,1,0,13,3,3,6,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
67,45,0,7,3,2,0,1,9724,2,0,17,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
68,35,0,1,3,2,0,1,2194,4,0,13,4,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
69,36,1,9,3,4,0,3,3388,0,1,17,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
70,59,0,1,1,1,1,3,5473,7,0,11,4,2,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
71,29,0,2,3,3,0,2,2703,0,0,23,4,3,5,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
72,31,0,1,4,3,0,2,2501,1,0,17,2,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
73,32,0,1,3,2,0,2,6220,1,0,17,2,3,10,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
74,36,0,6,3,2,1,4,3038,3,0,12,2,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
75,31,0,8,4,3,1,4,4424,1,0,23,4,3,11,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
76,35,0,1,4,3,0,1,4312,0,0,14,2,3,15,13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
77,45,0,6,4,4,0,1,13245,4,1,14,2,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
78,37,0,7,4,1,0,3,13664,4,0,13,1,4,5,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
79,46,0,5,2,2,0,2,5021,8,1,22,4,3,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,30,0,1,1,4,0,4,5126,1,1,12,3,2,10,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
81,35,0,1,3,2,0,3,2859,1,0,18,1,3,6,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
82,55,0,1,2,1,0,4,10239,3,0,14,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
83,38,0,6,3,2,1,4,5329,7,1,12,4,3,13,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
84,34,0,1,2,1,0,2,4325,1,0,15,3,3,5,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
85,56,0,7,3,4,0,4,7260,4,0,11,1,2,6,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
86,23,0,2,1,3,0,1,2322,3,0,13,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
87,51,0,9,4,4,0,4,2075,3,0,23,2,3,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
88,30,0,2,3,3,0,4,4152,1,0,19,1,3,11,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
89,46,1,9,2,3,0,4,9619,1,0,16,4,3,9,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
90,40,0,1,4,3,0,2,13503,1,0,22,4,2,22,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
91,51,0,21,4,3,0,4,5441,0,1,22,4,1,10,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
92,30,0,4,2,3,1,2,5209,1,1,12,2,2,11,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
93,46,0,1,3,3,0,1,10673,2,1,13,3,2,10,9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
94,32,0,6,4,2,0,3,5010,1,0,16,1,3,11,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
95,54,0,2,4,1,1,3,13549,9,0,12,1,1,4,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
96,24,0,3,2,1,1,3,4999,0,0,21,1,2,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
97,28,0,4,3,2,0,3,4221,1,0,15,2,4,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
98,58,0,10,4,4,0,3,13872,0,0,13,3,2,37,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
99,44,0,23,3,2,0,2,2042,4,0,12,3,4,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
100,37,1,6,4,3,0,1,2073,4,1,22,4,3,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101,32,0,1,1,4,0,1,2956,1,0,13,4,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
102,20,1,6,3,4,1,4,2926,1,1,18,2,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
103,34,0,6,4,1,1,3,4809,1,0,14,3,3,16,13,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
104,37,0,2,2,3,0,4,5163,5,0,14,4,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
105,59,0,2,4,3,1,4,18844,9,0,21,4,3,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,50,0,1,3,1,1,2,18172,3,1,19,1,2,8,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
107,25,1,5,3,3,0,3,5744,1,1,11,4,3,6,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
108,25,0,7,1,4,0,4,2889,1,0,11,3,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
109,22,0,15,3,2,1,4,2871,1,0,15,3,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
110,51,0,1,4,1,1,1,7484,3,0,20,3,2,13,12,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
111,34,1,7,3,1,0,3,6074,1,1,24,4,3,9,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
112,54,0,26,3,4,1,4,17328,2,1,12,3,3,5,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
113,24,0,18,1,2,0,3,2774,0,0,12,3,3,5,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
114,34,0,6,4,3,1,2,4505,6,0,15,3,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
115,37,0,3,3,3,0,4,7428,2,0,12,1,3,5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
116,34,0,5,3,3,1,1,11631,2,0,12,4,3,11,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
117,36,0,11,2,2,1,4,9738,0,0,14,3,3,9,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
118,36,0,3,2,1,1,4,2835,5,0,22,1,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
119,43,0,26,2,3,0,4,16959,1,1,12,4,4,25,12,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
120,30,0,23,3,1,0,3,2613,1,0,25,3,2,10,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
121,33,0,22,2,3,0,2,6146,0,0,13,1,4,7,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
122,56,1,14,4,2,1,2,4963,9,1,18,1,3,5,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
123,51,0,6,3,1,0,3,19537,7,0,13,3,3,20,18,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
124,31,1,6,4,2,0,3,6172,4,1,18,2,2,7,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
125,26,0,6,3,3,1,2,2368,1,0,19,3,2,5,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
126,58,1,23,4,4,1,4,10312,1,0,12,4,2,40,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
127,19,1,22,1,4,0,3,1675,1,1,19,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
128,22,0,2,1,3,0,4,2523,0,0,14,3,3,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
129,49,0,20,4,3,1,1,6567,1,0,14,3,2,15,11,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
130,43,0,28,3,2,1,3,4739,4,0,12,4,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
131,50,0,12,3,3,1,4,9208,4,0,11,4,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
132,31,1,20,3,2,1,3,4559,3,1,11,3,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
133,41,0,9,1,3,0,3,8189,3,1,13,3,3,9,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
134,26,0,25,1,3,1,3,2942,1,0,23,4,3,8,7,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
135,36,0,6,2,2,0,2,4941,6,0,20,4,3,3,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
136,51,1,8,4,1,0,4,10650,2,0,15,4,3,4,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
137,39,0,4,4,4,1,3,5902,4,0,14,3,4,15,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
138,25,0,28,3,1,0,3,8639,2,0,18,4,3,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
139,30,0,9,3,3,0,4,6347,0,1,19,4,1,11,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
140,32,1,9,3,1,1,1,4200,7,0,22,1,4,5,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
141,45,0,29,3,3,0,4,3452,5,0,13,2,2,6,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
142,38,0,3,5,4,1,3,4317,3,1,20,2,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
143,30,0,18,3,1,1,3,2632,1,0,14,3,2,5,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
144,32,0,9,2,4,0,4,4668,0,0,17,4,4,8,7,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
145,30,0,5,3,4,1,1,3204,5,0,14,4,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
146,30,0,2,1,2,0,4,2720,0,0,13,4,3,5,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
147,41,0,10,3,4,0,1,17181,4,0,13,2,2,7,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
148,41,0,9,4,3,0,1,2238,2,0,21,4,3,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
149,19,0,3,1,2,1,2,1483,1,0,14,4,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
150,40,0,26,3,2,1,2,5605,1,0,11,1,3,20,7,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
151,35,0,1,5,3,0,2,7295,1,0,13,1,3,10,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
152,53,0,6,2,2,0,3,2306,2,1,20,4,1,7,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
153,45,0,9,3,2,0,2,2348,8,0,18,3,1,17,9,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
154,32,0,8,3,2,1,4,8998,1,0,14,4,3,9,8,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
155,29,0,1,1,4,0,3,4319,1,0,13,1,3,10,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
156,51,0,7,4,2,0,3,6132,2,0,17,3,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
157,58,0,9,3,2,1,2,3346,4,1,20,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
158,40,0,4,4,3,0,4,10855,7,0,11,1,2,12,11,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
159,34,0,2,4,3,1,3,2231,6,0,18,4,3,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
160,22,0,19,1,3,0,4,2323,1,0,24,1,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
161,27,0,9,3,4,0,2,2024,6,0,18,4,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
162,28,0,21,3,3,0,4,2713,1,0,11,3,1,5,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
163,57,0,24,2,3,0,4,9439,3,1,16,2,1,5,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
164,27,0,3,3,3,0,3,2566,1,1,15,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
165,50,0,11,3,3,1,2,19926,3,0,15,2,3,5,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
166,41,0,14,3,1,0,3,2451,4,0,12,1,3,9,8,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
167,30,0,5,3,2,1,4,9419,2,0,12,3,3,10,9,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
168,38,0,1,4,1,1,4,8686,4,0,22,3,4,8,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
169,32,0,6,5,3,0,3,3038,3,0,20,1,3,5,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
170,27,0,17,3,3,0,2,3058,0,1,16,4,2,5,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
171,19,1,1,1,3,1,1,2325,0,0,21,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
172,36,0,3,2,4,0,2,2088,4,0,12,3,2,8,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
173,30,0,9,3,3,0,1,3072,1,0,11,3,3,12,9,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
174,45,0,4,2,3,1,1,5006,4,1,11,1,4,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
175,56,0,8,3,3,1,1,4257,4,1,18,3,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
176,33,0,2,3,3,0,4,2500,0,0,14,1,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
177,19,1,2,3,2,0,4,1102,1,0,22,3,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
178,46,0,1,2,2,1,1,10453,1,0,25,3,3,24,13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
179,38,0,9,2,3,1,4,2288,1,0,12,3,3,2,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
180,31,0,12,1,3,1,4,3929,8,1,23,3,3,4,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
181,34,0,27,2,4,1,2,2311,2,0,15,4,3,3,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
182,41,1,20,2,2,1,2,3140,1,1,22,4,2,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
183,50,0,1,3,3,0,3,3690,2,0,15,4,2,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
184,53,0,13,2,4,1,1,4450,1,0,11,3,3,4,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
185,33,0,14,3,4,1,2,2756,1,0,13,4,3,8,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
186,40,0,4,1,4,1,3,19033,1,0,14,2,3,20,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
187,55,0,14,4,3,0,2,18722,8,0,11,4,3,24,15,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
188,34,0,2,1,4,0,3,9547,1,0,17,3,2,10,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
189,51,0,3,3,4,1,2,13734,3,0,18,3,3,7,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
190,52,0,1,4,3,0,3,19999,0,0,14,1,3,33,18,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
191,27,0,9,3,4,1,2,2279,1,0,16,4,2,7,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
192,35,1,23,2,2,0,3,5916,3,1,13,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
