,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
27,42,0,Travel_Rarely,Sales,8,4,3,0,Sales Executive,2,Married,6825,0,0,11,4,3,9,7
28,44,0,Travel_Rarely,Research & Development,7,4,1,1,Healthcare Representative,4,Married,10248,3,0,14,4,3,22,6
29,46,0,Travel_Rarely,Sales,2,4,2,1,Manager,1,Single,18947,3,0,12,4,2,2,2
30,33,0,Travel_Rarely,Research & Development,2,3,3,0,Laboratory Technician,4,Single,2496,4,0,11,4,3,1,1
31,44,0,Travel_Rarely,Research & Development,10,4,4,0,Healthcare Representative,4,Married,6465,2,1,13,4,4,4,2
32,30,0,Travel_Rarely,Research & Development,9,2,4,0,Laboratory Technician,3,Single,2206,1,0,13,1,3,10,0
33,39,1,Travel_Rarely,Sales,5,3,4,0,Sales Representative,4,Married,2086,3,0,14,3,4,1,0
34,24,1,Travel_Rarely,Research & Development,1,3,2,0,Research Scientist,4,Married,2293,2,1,16,1,2,2,0
35,43,0,Travel_Rarely,Research & Development,2,2,4,1,Research Scientist,3,Divorced,2645,1,0,12,4,2,5,3
36,50,1,Travel_Rarely,Sales,3,2,1,0,Sales Representative,3,Married,2683,1,1,14,3,3,3,2
37,35,0,Travel_Rarely,Sales,2,3,4,1,Sales Representative,4,Married,2014,1,0,13,1,3,2,2
38,36,0,Travel_Rarely,Research & Development,5,4,2,1,Research Scientist,1,Married,3419,9,1,14,4,4,1,1
39,33,0,Travel_Frequently,Sales,1,3,3,1,Sales Executive,1,Married,5376,2,0,19,1,3,5,3
40,35,0,Travel_Rarely,Research & Development,4,2,3,0,Laboratory Technician,4,Divorced,1951,1,0,12,3,3,1,0
41,27,0,Travel_Rarely,Research & Development,2,4,4,1,Laboratory Technician,1,Divorced,2341,1,0,13,4,3,1,0
42,26,1,Travel_Rarely,Research & Development,25,3,1,0,Laboratory Technician,3,Single,2293,1,0,12,3,2,1,0
43,27,0,Travel_Frequently,Sales,8,3,4,0,Sales Executive,3,Single,8726,1,0,15,4,3,9,8
44,30,0,Travel_Frequently,Research & Development,1,2,3,1,Laboratory Technician,4,Single,4011,1,0,23,4,3,12,8
45,41,1,Travel_Rarely,Research & Development,12,3,2,1,Research Director,3,Married,19545,1,0,12,4,3,22,15
46,34,0,Non-Travel,Sales,23,4,2,0,Sales Executive,3,Single,4568,0,0,20,3,3,9,5
47,37,0,Travel_Rarely,Research & Development,19,2,2,0,Research Scientist,2,Married,3022,4,0,21,1,3,1,0
48,46,0,Travel_Frequently,Sales,5,4,1,0,Sales Executive,4,Single,5772,4,1,21,3,3,9,6
49,35,0,Travel_Rarely,Research & Development,8,1,4,0,Laboratory Technician,4,Married,2269,1,0,19,4,3,1,0
50,48,1,Travel_Rarely,Research & Development,1,2,1,0,Laboratory Technician,3,Single,5381,9,1,13,4,3,1,0
51,28,1,Travel_Rarely,Research & Development,5,4,3,0,Laboratory Technician,3,Single,3441,1,1,13,3,2,2,2
52,44,0,Travel_Rarely,Sales,1,5,2,1,Sales Executive,1,Divorced,5454,5,1,21,3,2,4,3
53,35,0,Non-Travel,Research & Development,11,2,3,0,Healthcare Representative,1,Married,9884,2,1,13,3,3,4,0
54,26,0,Travel_Rarely,Sales,23,3,3,1,Sales Executive,4,Married,4157,7,1,19,3,2,2,2
55,33,0,Travel_Frequently,Research & Development,1,2,1,1,Research Director,4,Single,13458,1,1,12,3,3,15,14
56,35,0,Travel_Frequently,Sales,18,5,2,0,Sales Executive,1,Married,9069,1,0,22,4,2,9,8
57,35,0,Travel_Rarely,Research & Development,23,4,3,1,Laboratory Technician,1,Married,4014,3,1,15,3,3,2,2
58,31,0,Travel_Rarely,Research & Development,7,4,4,0,Laboratory Technician,4,Divorced,5915,3,0,22,4,2,7,7
59,37,0,Travel_Rarely,Research & Development,1,4,1,0,Manufacturing Director,3,Divorced,5993,1,0,18,3,4,7,5
60,32,0,Travel_Rarely,Research & Development,1,3,1,0,Manufacturing Director,4,Married,6162,1,1,22,2,3,9,8
61,38,0,Travel_Frequently,Research & Development,29,5,4,1,Laboratory Technician,4,Single,2406,1,0,11,4,3,10,3
62,50,0,Travel_Rarely,Research & Development,7,2,2,1,Research Director,3,Divorced,18740,5,1,12,4,2,27,3
63,59,0,Travel_Rarely,Sales,25,3,1,1,Sales Executive,1,Single,7637,7,0,11,4,2,21,16
64,36,0,Travel_Rarely,Research & Development,8,3,3,1,Healthcare Representative,3,Divorced,10096,1,0,13,2,3,17,14
65,55,0,Travel_Rarely,Research & Development,8,3,4,1,Manager,3,Divorced,14756,2,1,14,3,3,5,0
66,36,0,Travel_Frequently,Research & Development,11,3,2,0,Manufacturing Director,2,Single,6499,1,0,13,3,3,6,5
67,45,0,Travel_Rarely,Research & Development,7,3,2,0,Research Scientist,1,Divorced,9724,2,0,17,3,3,1,0
68,35,0,Travel_Frequently,Research & Development,1,3,2,0,Research Scientist,1,Married,2194,4,0,13,4,2,3,2
69,36,1,Travel_Rarely,Research & Development,9,3,4,0,Research Scientist,3,Married,3388,0,1,17,1,2,1,0
70,59,0,Travel_Frequently,Sales,1,1,1,1,Sales Executive,3,Single,5473,7,0,11,4,2,4,3
71,29,0,Travel_Rarely,Research & Development,2,3,3,0,Research Scientist,2,Married,2703,0,0,23,4,3,5,4
72,31,0,Travel_Rarely,Research & Development,1,4,3,0,Research Scientist,2,Single,2501,1,0,17,2,3,1,1
73,32,0,Travel_Rarely,Research & Development,1,3,2,0,Research Scientist,2,Married,6220,1,0,17,2,3,10,4
74,36,0,Travel_Rarely,Research & Development,6,3,2,1,Laboratory Technician,4,Married,3038,3,0,12,2,3,1,0
75,31,0,Travel_Rarely,Research & Development,8,4,3,1,Manufacturing Director,4,Single,4424,1,0,23,4,3,11,7
76,35,0,Travel_Rarely,Sales,1,4,3,0,Sales Executive,1,Single,4312,0,0,14,2,3,15,13
77,45,0,Travel_Rarely,Research & Development,6,4,4,0,Research Director,1,Married,13245,4,1,14,2,4,0,0
78,37,0,Travel_Rarely,Research & Development,7,4,1,0,Research Director,3,Single,13664,4,0,13,1,4,5,2
79,46,0,Travel_Rarely,Human Resources,5,2,2,0,Human Resources,2,Divorced,5021,8,1,22,4,3,4,2
80,30,0,Travel_Rarely,Research & Development,1,1,4,0,Laboratory Technician,4,Married,5126,1,1,12,3,2,10,8
81,35,0,Travel_Rarely,Research & Development,1,3,2,0,Research Scientist,3,Single,2859,1,0,18,1,3,6,4
82,55,0,Travel_Rarely,Sales,1,2,1,0,Sales Executive,4,Married,10239,3,0,14,4,3,1,0
83,38,0,Non-Travel,Research & Development,6,3,2,1,Research Scientist,4,Divorced,5329,7,1,12,4,3,13,11
84,34,0,Travel_Rarely,Research & Development,1,2,1,0,Manufacturing Director,2,Married,4325,1,0,15,3,3,5,2
85,56,0,Travel_Rarely,Research & Development,7,3,4,0,Manufacturing Director,4,Single,7260,4,0,11,1,2,6,4
86,23,0,Travel_Rarely,Sales,2,1,3,0,Sales Representative,1,Divorced,2322,3,0,13,3,3,0,0
87,51,0,Travel_Rarely,Research & Development,9,4,4,0,Laboratory Technician,4,Married,2075,3,0,23,2,3,4,2
88,30,0,Travel_Rarely,Research & Development,2,3,3,0,Healthcare Representative,4,Married,4152,1,0,19,1,3,11,10
89,46,1,Travel_Rarely,Sales,9,2,3,0,Sales Executive,4,Single,9619,1,0,16,4,3,9,8
90,40,0,Travel_Frequently,Research & Development,1,4,3,0,Healthcare Representative,2,Married,13503,1,0,22,4,2,22,3
91,51,0,Travel_Rarely,Sales,21,4,3,0,Sales Executive,4,Single,5441,0,1,22,4,1,10,7
92,30,0,Travel_Rarely,Sales,4,2,3,1,Sales Executive,2,Divorced,5209,1,1,12,2,2,11,8
93,46,0,Travel_Frequently,Research & Development,1,3,3,0,Healthcare Representative,1,Married,10673,2,1,13,3,2,10,9
94,32,0,Travel_Rarely,Sales,6,4,2,0,Sales Executive,3,Single,5010,1,0,16,1,3,11,8
95,54,0,Travel_Rarely,Research & Development,2,4,1,1,Research Director,3,Married,13549,9,0,12,1,1,4,3
96,24,0,Travel_Rarely,Sales,3,2,1,1,Sales Executive,3,Married,4999,0,0,21,1,2,3,2
97,28,0,Non-Travel,Sales,4,3,2,0,Sales Executive,3,Married,4221,1,0,15,2,4,5,4
98,58,0,Travel_Rarely,Sales,10,4,4,0,Sales Executive,3,Single,13872,0,0,13,3,2,37,10
99,44,0,Non-Travel,Research & Development,23,3,2,0,Laboratory Technician,2,Married,2042,4,0,12,3,4,3,2
100,37,1,Travel_Rarely,Human Resources,6,4,3,0,Human Resources,1,Divorced,2073,4,1,22,4,3,3,2
101,32,0,Travel_Rarely,Research & Development,1,1,4,0,Research Scientist,1,Single,2956,1,0,13,4,3,1,0
102,20,1,Travel_Frequently,Research & Development,6,3,4,1,Laboratory Technician,4,Single,2926,1,1,18,2,3,1,0
103,34,0,Travel_Rarely,Research & Development,6,4,1,1,Research Scientist,3,Single,4809,1,0,14,3,3,16,13
104,37,0,Non-Travel,Research & Development,2,2,3,0,Healthcare Representative,4,Divorced,5163,5,0,14,4,4,1,0
105,59,0,Non-Travel,Human Resources,2,4,3,1,Manager,4,Married,18844,9,0,21,4,3,3,2
106,50,0,Travel_Frequently,Research & Development,1,3,1,1,Research Director,2,Married,18172,3,1,19,1,2,8,3
107,25,1,Travel_Rarely,Sales,5,3,3,0,Sales Executive,3,Single,5744,1,1,11,4,3,6,4
108,25,0,Travel_Rarely,Research & Development,7,1,4,0,Research Scientist,4,Married,2889,1,0,11,3,3,2,2
109,22,0,Travel_Rarely,Research & Development,15,3,2,1,Laboratory Technician,4,Single,2871,1,0,15,3,3,0,0
110,51,0,Travel_Frequently,Research & Development,1,4,1,1,Healthcare Representative,1,Single,7484,3,0,20,3,2,13,12
111,34,1,Travel_Frequently,Research & Development,7,3,1,0,Laboratory Technician,3,Single,6074,1,1,24,4,3,9,7
112,54,0,Non-Travel,Human Resources,26,3,4,1,Manager,4,Single,17328,2,1,12,3,3,5,3
113,24,0,Travel_Rarely,Research & Development,18,1,2,0,Laboratory Technician,3,Married,2774,0,0,12,3,3,5,3
114,34,0,Travel_Rarely,Research & Development,6,4,3,1,Research Scientist,2,Divorced,4505,6,0,15,3,3,1,0
115,37,0,Travel_Rarely,Sales,3,3,3,0,Sales Executive,4,Single,7428,2,0,12,1,3,5,3
116,34,0,Travel_Rarely,Research & Development,5,3,3,1,Manager,1,Single,11631,2,0,12,4,3,11,10
117,36,0,Travel_Frequently,Sales,11,2,2,1,Sales Executive,4,Married,9738,0,0,14,3,3,9,7
118,36,0,Travel_Rarely,Research & Development,3,2,1,1,Laboratory Technician,4,Divorced,2835,5,0,22,1,3,1,0
119,43,0,Travel_Frequently,Sales,26,2,3,0,Manager,4,Married,16959,1,1,12,4,4,25,12
120,30,0,Travel_Frequently,Research & Development,23,3,1,0,Research Scientist,3,Divorced,2613,1,0,25,3,2,10,7
121,33,0,Non-Travel,Sales,22,2,3,0,Sales Executive,2,Married,6146,0,0,13,1,4,7,7
122,56,1,Travel_Rarely,Research & Development,14,4,2,1,Research Scientist,2,Married,4963,9,1,18,1,3,5,4
123,51,0,Travel_Rarely,Research & Development,6,3,1,0,Research Director,3,Single,19537,7,0,13,3,3,20,18
124,31,1,Travel_Rarely,Sales,6,4,2,0,Sales Executive,3,Married,6172,4,1,18,2,2,7,7
125,26,0,Travel_Rarely,Research & Development,6,3,3,1,Research Scientist,2,Married,2368,1,0,19,3,2,5,4
126,58,1,Travel_Rarely,Research & Development,23,4,4,1,Healthcare Representative,4,Married,10312,1,0,12,4,2,40,10
127,19,1,Travel_Rarely,Sales,22,1,4,0,Sales Representative,3,Single,1675,1,1,19,4,2,0,0
128,22,0,Travel_Rarely,Research & Development,2,1,3,0,Laboratory Technician,4,Married,2523,0,0,14,3,3,2,1
129,49,0,Travel_Rarely,Research & Development,20,4,3,1,Manufacturing Director,1,Married,6567,1,0,14,3,2,15,11
130,43,0,Travel_Frequently,Research & Development,28,3,2,1,Research Scientist,3,Single,4739,4,0,12,4,3,3,2
131,50,0,Travel_Frequently,Sales,12,3,3,1,Sales Executive,4,Single,9208,4,0,11,4,3,2,2
132,31,1,Travel_Rarely,Sales,20,3,2,1,Sales Executive,3,Married,4559,3,1,11,3,3,2,2
133,41,0,Travel_Rarely,Sales,9,1,3,0,Sales Executive,3,Divorced,8189,3,1,13,3,3,9,7
134,26,0,Travel_Rarely,Human Resources,25,1,3,1,Human Resources,3,Married,2942,1,0,23,4,3,8,7
135,36,0,Travel_Rarely,Research & Development,6,2,2,0,Manufacturing Director,2,Divorced,4941,6,0,20,4,3,3,2
136,51,1,Travel_Frequently,Research & Development,8,4,1,0,Manufacturing Director,4,Single,10650,2,0,15,4,3,4,2
137,39,0,Travel_Rarely,Sales,4,4,4,1,Sales Executive,3,Married,5902,4,0,14,3,4,15,11
138,25,0,Travel_Rarely,Sales,28,3,1,0,Sales Executive,3,Married,8639,2,0,18,4,3,2,2
139,30,0,Travel_Rarely,Human Resources,9,3,3,0,Human Resources,4,Married,6347,0,1,19,4,1,11,9
140,32,1,Travel_Rarely,Research & Development,9,3,1,1,Laboratory Technician,1,Single,4200,7,0,22,1,4,5,4
141,45,0,Travel_Rarely,Research & Development,29,3,3,0,Research Scientist,4,Single,3452,5,0,13,2,2,6,5
142,38,0,Travel_Rarely,Research & Development,3,5,4,1,Research Scientist,3,Single,4317,3,1,20,2,3,3,2
143,30,0,Travel_Rarely,Research & Development,18,3,1,1,Research Scientist,3,Single,2632,1,0,14,3,2,5,4
144,32,0,Travel_Frequently,Sales,9,2,4,0,Sales Executive,4,Divorced,4668,0,0,17,4,4,8,7
145,30,0,Travel_Rarely,Research & Development,5,3,4,1,Research Scientist,1,Divorced,3204,5,0,14,4,3,3,2
146,30,0,Travel_Rarely,Research & Development,2,1,2,0,Laboratory Technician,4,Single,2720,0,0,13,4,3,5,3
147,41,0,Travel_Frequently,Research & Development,10,3,4,0,Manager,1,Divorced,17181,4,0,13,2,2,7,6
148,41,0,Travel_Rarely,Research & Development,9,4,3,0,Laboratory Technician,1,Married,2238,2,0,21,4,3,5,0
149,19,0,Travel_Rarely,Research & Development,3,1,2,1,Laboratory Technician,2,Single,1483,1,0,14,4,3,1,0
150,40,0,Travel_Frequently,Research & Development,26,3,2,1,Research Scientist,2,Divorced,5605,1,0,11,1,3,20,7
151,35,0,Travel_Rarely,Sales,1,5,3,0,Sales Executive,2,Married,7295,1,0,13,1,3,10,8
152,53,0,Travel_Rarely,Sales,6,2,2,0,Sales Representative,3,Married,2306,2,1,20,4,1,7,7
153,45,0,Travel_Rarely,Research & Development,9,3,2,0,Laboratory Technician,2,Divorced,2348,8,0,18,3,1,17,9
154,32,0,Travel_Frequently,Sales,8,3,2,1,Sales Executive,4,Single,8998,1,0,14,4,3,9,8
155,29,0,Non-Travel,Research & Development,1,1,4,0,Manufacturing Director,3,Married,4319,1,0,13,1,3,10,7
156,51,0,Travel_Rarely,Research & Development,7,4,2,0,Manufacturing Director,3,Married,6132,2,0,17,3,3,1,0
157,58,0,Travel_Rarely,Research & Development,9,3,2,1,Research Scientist,2,Married,3346,4,1,20,2,2,1,0
158,40,0,Travel_Rarely,Sales,4,4,3,0,Sales Executive,4,Married,10855,7,0,11,1,2,12,11
159,34,0,Travel_Frequently,Sales,2,4,3,1,Sales Representative,3,Married,2231,6,0,18,4,3,4,3
160,22,0,Travel_Rarely,Research & Development,19,1,3,0,Research Scientist,4,Married,2323,1,0,24,1,3,2,2
161,27,0,Non-Travel,Research & Development,9,3,4,0,Research Scientist,2,Divorced,2024,6,0,18,4,1,2,2
162,28,0,Travel_Rarely,Research & Development,21,3,3,0,Research Scientist,4,Married,2713,1,0,11,3,1,5,2
163,57,0,Travel_Rarely,Research & Development,24,2,3,0,Healthcare Representative,4,Divorced,9439,3,1,16,2,1,5,3
164,27,0,Non-Travel,Research & Development,3,3,3,0,Research Scientist,3,Divorced,2566,1,1,15,4,2,1,1
165,50,0,Travel_Rarely,Research & Development,11,3,3,1,Manager,2,Single,19926,3,0,15,2,3,5,4
166,41,0,Travel_Rarely,Research & Development,14,3,1,0,Research Scientist,3,Divorced,2451,4,0,12,1,3,9,8
167,30,0,Travel_Rarely,Sales,5,3,2,1,Sales Executive,4,Married,9419,2,0,12,3,3,10,9
168,38,0,Travel_Rarely,Sales,1,4,1,1,Sales Executive,4,Single,8686,4,0,22,3,4,8,3
169,32,0,Travel_Rarely,Research & Development,6,5,3,0,Research Scientist,3,Single,3038,3,0,20,1,3,5,4
170,27,0,Travel_Rarely,Research & Development,17,3,3,0,Research Scientist,2,Married,3058,0,1,16,4,2,5,2
171,19,1,Travel_Frequently,Sales,1,1,3,1,Sales Representative,1,Single,2325,0,0,21,1,4,0,0
172,36,0,Travel_Frequently,Research & Development,3,2,4,0,Laboratory Technician,2,Single,2088,4,0,12,3,2,8,7
173,30,0,Non-Travel,Research & Development,9,3,3,0,Laboratory Technician,1,Divorced,3072,1,0,11,3,3,12,9
174,45,0,Travel_Rarely,Sales,4,2,3,1,Sales Executive,1,Divorced,5006,4,1,11,1,4,5,4
175,56,0,Travel_Rarely,Research & Development,8,3,3,1,Research Scientist,1,Divorced,4257,4,1,18,3,3,2,2
176,33,0,Travel_Rarely,Research & Development,2,3,3,0,Research Scientist,4,Single,2500,0,0,14,1,4,3,1
177,19,1,Travel_Rarely,Research & Development,2,3,2,0,Laboratory Technician,4,Single,1102,1,0,22,3,2,1,0
178,46,0,Travel_Rarely,Sales,1,2,2,1,Sales Executive,1,Divorced,10453,1,0,25,3,3,24,13
179,38,0,Travel_Rarely,Research & Development,9,2,3,1,Laboratory Technician,4,Single,2288,1,0,12,3,3,2,2
180,31,0,Travel_Rarely,Research & Development,12,1,3,1,Research Scientist,4,Married,3929,8,1,23,3,3,4,2
181,34,0,Travel_Rarely,Research & Development,27,2,4,1,Research Scientist,2,Single,2311,2,0,15,4,3,3,2
182,41,1,Travel_Rarely,Sales,20,2,2,1,Sales Representative,2,Single,3140,1,1,22,4,2,4,3
183,50,0,Travel_Rarely,Research & Development,1,3,3,0,Laboratory Technician,3,Married,3690,2,0,15,4,2,3,2
184,53,0,Travel_Rarely,Research & Development,13,2,4,1,Manufacturing Director,1,Divorced,4450,1,0,11,3,3,4,2
185,33,0,Travel_Rarely,Research & Development,14,3,4,1,Research Scientist,2,Married,2756,1,0,13,4,3,8,7
186,40,0,Travel_Rarely,Research & Development,4,1,4,1,Manager,3,Married,19033,1,0,14,2,3,20,8
187,55,0,Travel_Rarely,Research & Development,14,4,3,0,Research Director,2,Single,18722,8,0,11,4,3,24,15
188,34,0,Travel_Frequently,Research & Development,2,1,4,0,Manufacturing Director,3,Married,9547,1,0,17,3,2,10,9
189,51,0,Travel_Rarely,Research & Development,3,3,4,1,Healthcare Representative,2,Single,13734,3,0,18,3,3,7,7
190,52,0,Travel_Rarely,Research & Development,1,4,3,0,Manager,3,Married,19999,0,0,14,1,3,33,18
191,27,0,Travel_Rarely,Research & Development,9,3,4,1,Research Scientist,2,Single,2279,1,0,16,4,2,7,7
192,35,1,Travel_Rarely,Research & Development,23,2,2,0,Manufacturing Director,3,Married,5916,3,1,13,1,3,1,0
193,43,0,Non-Travel,Research & Development,7,3,4,0,Research Scientist,4,Divorced,2089,4,0,14,4,4,5,4
194,45,0,Non-Travel,Research & Development,2,2,1,0,Manager,4,Married,16792,9,0,23,4,3,20,8
195,37,0,Travel_Rarely,Research & Development,21,3,2,0,Research Scientist,1,Married,3564,1,1,12,1,2,8,7
196,35,0,Travel_Frequently,Research & Development,2,3,2,1,Laboratory Technician,2,Single,4425,5,0,11,4,3,6,2
197,42,0,Non-Travel,Research & Development,21,2,3,1,Manufacturing Director,3,Divorced,5265,2,0,16,2,3,5,3
198,38,0,Travel_Rarely,Research & Development,2,4,4,0,Manufacturing Director,3,Married,6553,9,0,14,2,3,1,0
199,38,0,Travel_Rarely,Research & Development,29,3,4,0,Manufacturing Director,4,Married,6261,3,0,18,1,1,7,7
200,27,0,Travel_Frequently,Research & Development,1,1,3,0,Manufacturing Director,1,Married,4298,5,0,19,3,3,2,2
201,49,0,Non-Travel,Research & Development,18,4,4,0,Manufacturing Director,4,Divorced,6804,1,1,15,1,3,7,7
202,34,0,Travel_Frequently,Research & Development,10,4,4,0,Research Scientist,3,Divorced,3815,1,1,17,4,4,5,3
203,40,0,Travel_Rarely,Research & Development,19,2,3,0,Laboratory Technician,4,Married,2741,8,1,15,3,4,7,2
204,38,1,Travel_Rarely,Research & Development,29,1,2,0,Healthcare Representative,1,Married,6673,7,1,19,2,3,1,0
205,29,1,Travel_Rarely,Sales,27,3,2,1,Sales Executive,4,Married,7639,1,0,22,4,2,10,4
206,22,0,Travel_Rarely,Research & Development,5,3,4,0,Research Scientist,2,Divorced,2328,1,1,16,1,2,4,2
207,36,0,Travel_Frequently,Research & Development,18,1,2,1,Laboratory Technician,4,Single,2153,1,0,13,1,3,8,1
208,40,0,Non-Travel,Research & Development,9,5,4,0,Healthcare Representative,4,Married,4876,9,0,14,4,1,3,2
209,46,0,Travel_Rarely,Research & Development,1,4,4,0,Healthcare Representative,1,Divorced,9396,7,0,16,3,3,4,2
210,32,1,Travel_Rarely,Sales,4,4,4,0,Sales Executive,4,Married,10400,1,0,11,3,2,14,8
211,30,0,Non-Travel,Research & Development,1,1,3,0,Manufacturing Director,3,Single,8474,1,0,22,3,3,11,8
212,27,0,Travel_Frequently,Sales,20,3,4,1,Sales Executive,3,Single,9981,1,0,14,4,3,7,7
213,51,0,Travel_Rarely,Research & Development,8,4,2,0,Research Director,2,Married,12490,5,0,16,4,1,10,9
214,30,1,Travel_Rarely,Research & Development,3,3,4,1,Research Scientist,1,Single,2657,5,1,11,3,3,5,2
215,41,0,Travel_Rarely,Sales,6,3,4,1,Manager,4,Single,13591,3,1,18,3,3,1,0
216,30,1,Travel_Frequently,Sales,26,4,3,1,Sales Executive,1,Single,6696,5,0,15,3,2,6,3
217,29,1,Travel_Rarely,Research & Development,1,3,3,0,Research Scientist,3,Single,2058,0,0,14,4,2,6,2
218,45,0,Non-Travel,Sales,6,3,4,1,Sales Executive,4,Single,8865,6,0,12,4,3,19,7
219,54,0,Travel_Rarely,Sales,3,3,4,1,Sales Executive,1,Married,5940,2,0,14,4,3,6,2
220,36,0,Travel_Rarely,Research & Development,5,2,4,0,Laboratory Technician,2,Single,5914,8,0,16,4,4,13,11
221,33,0,Travel_Rarely,Research & Development,4,4,3,1,Research Scientist,2,Married,2622,6,0,21,4,3,3,2
222,37,0,Travel_Frequently,Research & Development,11,3,2,0,Research Director,4,Divorced,12185,1,1,14,3,3,10,8
223,38,0,Travel_Rarely,Sales,3,3,1,0,Sales Executive,3,Divorced,10609,0,0,12,3,2,16,10
224,31,0,Non-Travel,Research & Development,1,4,3,0,Manufacturing Director,3,Married,4345,0,0,12,4,3,5,4
225,59,0,Travel_Rarely,Research & Development,3,3,3,0,Research Scientist,4,Married,2177,3,0,17,1,3,1,0
226,37,0,Travel_Frequently,Sales,4,4,1,0,Sales Representative,4,Divorced,2793,4,0,17,3,3,9,8
227,29,0,Travel_Frequently,Sales,1,1,2,1,Sales Executive,4,Married,7918,1,0,14,4,3,11,10
228,35,0,Travel_Frequently,Sales,1,3,3,1,Sales Executive,3,Single,8789,1,0,14,1,4,10,7
229,29,1,Travel_Rarely,Research & Development,18,1,3,0,Research Scientist,4,Single,2389,1,1,13,3,2,4,3
230,52,0,Travel_Rarely,Research & Development,2,3,3,1,Laboratory Technician,4,Single,3212,7,0,15,2,2,2,2
231,42,0,Travel_Rarely,Research & Development,4,2,3,0,Manager,4,Married,19232,1,0,11,4,3,22,17
232,59,0,Travel_Rarely,Human Resources,6,2,2,0,Human Resources,3,Married,2267,8,0,17,4,2,2,2
233,50,0,Travel_Rarely,Sales,1,4,4,1,Manager,4,Divorced,19517,3,0,11,3,2,7,0
234,33,1,Travel_Rarely,Research & Development,14,3,3,0,Laboratory Technician,4,Married,2436,5,1,13,3,1,5,4
